"LabCode","SamplingLocation"
"----","H-27, No.3, H-57, No.2, H-18, No.7, H-44, No.6　3ｃ2ｂ, H-21, No.5, H-52, No.4, H-57, No.1, 炭窯１　埋土層, 第3調査区3地点　Ⅳb層　C14-3, 第1調査区5地点泥層中部　C14-5, 第1調査区5地点泥層最下部　C14-6, 第3調査区7地点　Ⅳb層　C14-4, 第3調査区1地点　Ⅲc層最上部付近に倒木していた丸太材　C14-2, 第3調査区1地点　Ⅲc層底部　C14-1, 炭窯２　埋土層, 燃焼室内炭層　14C-4, 灰原SW　14C-5, 焚口畦炭層　14C-6, 燃焼室内炭層　14C-3, 焚口畦炭層　14C-2, SK2120, 燃焼室内炭層　14C-1"
"09R0912","試料A　Aトレンチ7区純貝層,重量約10g"
"09R0913","試料B　Aトレンチ7区純貝層,重量約10g"
"09R0914","試料C　Aトレンチ7区純貝層,重量約3g"
"Beta-115998","第6鉄塔地区　Ⅴb-1層"
"Beta-115999","第6鉄塔地区　Ⅴc層"
"Beta-116001","第6鉄塔地区　Ⅵb-u層"
"Beta-116015","中央畦２"
"Beta-116018","南壁c1"
"Beta-116020","東壁木材"
"Beta-116022","南壁a1"
"Beta-116067","試料番号:RH-105　オ-13-14　Ⅸ-2下部　焚き火跡"
"Beta-116068","試料番号:RH-106　オ-14　Ⅸ-3下位　水溜遺構　丸木舟の木材"
"Beta-116069","試料番号:RH-107　　オ-14　Ⅸ-2　木炭"
"Beta-116070","試料番号:RH-108　オ-14　Ⅸ-3下位　第24号　貯蔵穴内シイノキ属果実"
"Beta-116071","試料番号:RH-109　カ-12　西側14号　貯蔵穴　バーキの材片"
"Beta-116073","試料A　沼地内出土　Ⅲb層"
"Beta-116074","試料B　沼地内出土　Ⅲb層"
"Beta-1160753","試料C　沼地内出土　Ⅲa層"
"Beta-116076","試料D　沼地内出土　Ⅲa層"
"Beta-117388","試料名:№10070＠　5号高床式建物址　柱穴№10070　整理番号:8536"
"Beta-117389","試料名:S-28　第Ⅲ層f(炭混じり)　整理番号:8537"
"Beta-117390","試料名:S-26　7号炉址(4号土壙墓上部)　整理番号:8538"
"Beta-117663","試料名:№7　IS54　AT下位？　№23　C3686-C3687グリッド"
"Beta-117664","試料名:№4　水田2(下位検出面)"
"Beta-117665","試料名:№5　水田2(下位検出面)"
"Beta-117667","試料名:№2　2区北側5964-a,1114SX"
"Beta-117668","試料名:№3　2区6921-a,176-SI,1層"
"Beta-117669","試料名:№4　2区6922-a,167-SX,1層"
"Beta-117670","試料名:№6　8681-ｃ,(お)03-SI"
"Beta-117671","試料名:№7　8681-ｃ,(お)03-SI,3層"
"Beta-117684","試料名:№1　SA01"
"Beta-117685","試料名:№2　SA02"
"Beta-117686","試料名:№3　SA03"
"Beta-117687","試料名:№4　SA04"
"Beta-117812","97-1区　12面上　試料番号8726"
"Beta-117813","97-1区　12面下　試料番号8727"
"Beta-117814","97-1区　13層上　試料番号8728"
"Beta-117815","97-1区　13層下　試料番号8729"
"Beta-117816","97-1区　14-1層上　試料番号8730"
"Beta-117817","97-1区　14-1層下　試料番号8731"
"Beta-117818","97-1区　14-2層上　試料番号8732"
"Beta-117819","97-1区　14-2層下　試料番号8733"
"Beta-117820","97-1区　14-2面　試料番号8734"
"Beta-117821","97-1区　12面　試料番号8735"
"Beta-117822","97-3区　2層　試料番号8736"
"Beta-117823","97-3区　3-2層　試料番号11858"
"Beta-117824","97-3区　4層　試料番号8738"
"Beta-117825","97-3区　8層　試料番号8739"
"Beta-117826","97-3区　11層(11-1.2)　試料番号8740"
"Beta-117827","97-3区　12面　試料番号8741"
"Beta-117828","97-3区　13層　試料番号8742"
"Beta-117829","97-3区　14-1層上　試料番号8743"
"Beta-117830","97-3区　14-1層下　試料番号8744"
"Beta-117831","97-3区　14-2層上　試料番号8745"
"Beta-117832","97-3区　14-2層下　試料番号8746"
"Beta-117833","97-3区　15層　試料番号8747"
"Beta-117834","97-2区　15-2b層　試料番号8748"
"Beta-117835","97-2区　15-2b層　試料番号8749"
"Beta-117836","97-2区　16層　試料番号8750"
"Beta-117837","97-2区　17層　試料番号8751"
"Beta-117838","97-2区　18層　試料番号8752"
"Beta-117839","97-2区　18層　試料番号8753"
"Beta-117840","97-3区　14-2面　試料番号8754"
"Beta-117841","97-3区　14-2面　試料番号8755"
"Beta-118965","ピット内"
"Beta-118966","竪穴1床面　"
"Beta-119042","試料名:MK2-1　木杭"
"Beta-119043","試料名:MK2-2"
"Beta-119444","Ⅻ-2層　SB5345"
"Beta-119445","Ⅻ-2層　SB5345"
"Beta-119447","Ⅻ-2層　SB5340　炉内"
"Beta-119448","Ⅻ-2層　SB5341　炉2"""
"Beta-119449","Ⅻ-2層　SB5338　床面"
"Beta-119450","ⅩⅣ-1層　SB5401"
"Beta-119451","ⅩⅣ-1層　SB5412　床面"
"Beta-119452","ⅩⅣ-1層　SB5412　下床直　炭化物主柱部分"
"beta-119453","ⅩⅣ-1層　SB5412　下床直　炭化物主柱部分"
"Beta-119454","ⅩⅣ-3層(上面)　I-M10区"
"Beta-119967","試料名:№1　試掘1トレンチ"
"Beta-119968","試料名:№1　試掘最下層　丸太杭"
"Beta-120388","第10地点"
"Beta-120389","第10地点"
"Beta-120872","試料名:№1　C3区Ⅸ層上面焼土"
"Beta-120873","炭番号:炭1　SB2"
"Beta-120874","炭番号:炭6　SB29"
"Beta-120875","炭番号:炭3　SB31"
"Beta-120876","炭番号:柱穴1　SB41(SB42?)"
"Beta-121134","3号炭窯"
"Beta-12137","SI02"
"Beta-121395","SD302 3層"
"Beta-121396","SE309 2層"
"Beta-121658","不明"
"Beta-121659","不明"
"Beta-121660","不明"
"Beta-121664","不明"
"Beta-122260","試料名:№１　A区(H-3 )　5号住居内"
"Beta-122527","№①　整理番号:10114　試料名:NagaraharaE　V169　Ⅴ層　西トレンチ"
"Beta-122528","№②　整理番号:10115　試料名:NagaraharaE　Ⅶ569　Ⅶ層　南トレンチ深堀り区　"
